Year,Salary_All,Inf_Adj_Tuition,Inflation_Index,Adj_Salary_All
1999,95737,34530.92,1.553487395,148726.2227
2000,98314,34709.53,1.502967481,147762.7449
2001,96442,35085.71,1.462209041,141018.3643
2002,98782,35865.25,1.438638134,142111.5522
2003,101582,36433.65,1.406581522,142883.3642
2004,113328,37227.52,1.37009529,155270.159
2005,113030,37989.43,1.325197132,149787.0318
2006,113746,38762.6,1.283784723,146025.3771
2007,118543,39686.3,1.248232388,147969.212
2008,113222,40244.37,1.202078002,136101.6755
2009,114616,42372.54,1.206369998,138269.3037
2010,112913,43539.11,1.186901529,134016.6123
2011,112874,44741.57,1.150583047,129870.9108
2012,112617,46002.15,1.127255068,126948.084
2013,117099,47604.46,1.110981854,130094.8641
2014,116644,49608.28,1.093247331,127520.7417
2015,118719,51284.58,1.091951211,129635.3558
2016,114707,52166.15,1.078347714,123694.0312
2017,113941,52738.87,1.055854275,120305.0919
2018,110117,53025.4,1.030680148,113495.4059
2019,105279,53171.98,1.012336842,106577.8104
2020,102411,55000,1,102411
